start	end	text
3010	4432	Let's use our old method.
4472	9819	Let me share my screen.
9839	10079	Okay.
14645	15386	You see my screen.
20952	23816	So this is the gateway.
26139	26239	Okay.
27541	28562	And this is the.
32546	35611	Let's do it.
35631	36011	Agents.
41780	42982	If there is any other agents.
43363	43543	Okay.
44645	46087	And then if there's any other agents.
47469	47649	Okay.
48170	50834	And this is the, it's actually smart structure.
52116	57084	Let's say this is the user.
60389	60850	Okay.
61666	73442	So basically, the gateway is the connector between the agents, the requests.
73782	79470	Anything you do, the gateway directs your requests.
85739	87721	It's basically like that's right.
88322	91186	So if you go, the gateway has many information.
91586	93809	I'll show you a file, which is the open cloud Jason.
96932	97974	Stop sharing.
97994	98935	Let me just do here.
99676	103961	Let me just do the whole window together.
103981	106764	No, where is it?
111009	112732	Let me just do a task.
112752	112852	Okay.
117017	118098	You see the Jason here?
122914	123715	This is the gateway.
125817	126118	Okay.
126238	128581	So they see this, the agent is the workspace.
128621	129702	This is the model I'm using.
130583	130903	Okay.
132005	134167	Uh, this is the list of agents I have.
134848	135909	These are the list of agents.
136410	139253	This is string, digits, promo.
139754	145020	This is the bind the binding binding, which, which means it's like a connecting information to each other.
145060	146381	Okay.
149004	150546	So the agent ID mean.
150786	156793	It has a channel in telegram and it has an account ID, which is main bot here.
158975	159255	Okay.
159616	162259	String it's called string bots and so on.
162719	165122	This is the gateway information, the gateway token.
168266	175173	Uh, you know, just like the type of, uh, type of, uh, what do you call it?
175193	177156	Exactly.
177176	177956	It's a conflict file.
179198	179378	Okay.
179746	197465	Now, if you want to create a webhook, just like NA10, if you want to create something like this, this one, this webhook trigger is a webhook that receives information, right?
199006	200708	It receives requests.
201189	205493	So what you do, you go to the config file, you add it here.
205513	206354	You see it's a hook.
209474	209915	Do you see it?
211637	214480	And then you add, you add something called mappings.
219226	225134	So if you want to talk, I, I, I tried to make it dynamic, but it didn't work.
225775	228458	I wanted to make only one mapping.
228478	232263	And then I, I, I do the directing from my request.
232283	237810	So right now, if you see, I'm doing one, two, three, four mapping for each agent.
